AutoCode,SName,Item,Cuisine,Deptt,Rate,Tax,Trackable,Recipie Code,Liquor,Discountable,Category,Genre,Discontinued,GROUPS,SECSTK,RW_SSTK_ACD,PEG TYPE,LARGE,TAXABLE,FORCEQTY,QTY,TQTY,SELL_UOM,UOM_ACODE,ROLLBACK,DECIMAL,PRODUCTION,PROD_QTY,PROD_UOM,PROD_CONV,SRVTAX,BARCODE,PUR_ITEM,PUR_UOM,PUR_CONV,OPG_STK,ASK_RATE,ENB_SHELF_LIFE,SL_VALUE,SL_DURATION,SL_DAYS,BATCH_TYPE,ROLLBK_PRD,DLV_RATE,OPG_STK_LOC,RCP_ACTIVE,CESS_PERC,ICON_IDX,USE_ALT_NAME,ALT_NAME,MIN_LEVEL
34,"0034","Addon Olives Small",0,"K",4.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
35,"0035","Addon Gherkins Small",0,"K",4.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
36,"0036","Addon Cheese Small",0,"K",4.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
37,"0037","Addon Chicken Small",0,"K",4.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,1,5.0000000000000000e+01,0.0000000000000000e+00,"NOS",,0,0,0,0.0000000000000000e+00,,,0,,1,"NOS",1.0000000000000000e+00,5.0000000000000000e+01,0,0,0,,,0,0,,0,0,0.0000000000000000e+00,,0,,0.0000000000000000e+00
38,"43","Addon Cheese Large",0,"K",6.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
39,"0039","Addon Chicken Large",0,"K",6.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
40,"0040","Addon Gherkins Large",0,"K",6.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
41,"0041","Addon Olives Large",0,"K",6.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
42,"0042","Addon Jalapenos",0,"K",6.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
1,"2","French Fries",0,"K",1.1000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
2,"0002","Wedges French Fries",0,"K",1.1000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
3,"0003","Crispy Chicken Fries",0,"K",1.8000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
4,"5","Peri Peri French Fries",0,"K",1.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
5,"0005","Cheezy Pizza Fries",0,"K",1.7000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
6,"7","Cheesy Cheesy French Fries",0,"K",1.3000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
7,"0007","Classic Chilly Cheese Toast",0,"K",2.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
8,"0008","Cheese Corn Triangles",0,"K",1.8000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
9,"0009","Spicy Spchicken Wing",0,"K",2.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
10,"0010","Fried Rice Vegetarian",0,"K",2.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
11,"0011","Fried Rise Chicken",0,"K",2.7000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
12,"0012","Vegrtable In Garlic Sauce",0,"K",2.6000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
